dataset,seed,method,keep_ratio,num_selected,num_noisy_selected,noise_ratio_in_mask,mask_path
cifar10,22,MDS,30,15000,803,0.053533333333333336,/nvme/home/lixiang/baseline/MDS/noise_masks/cifar10/22/MDS/mask_30.npz
cifar10,22,MDS,50,25000,1620,0.0648,/nvme/home/lixiang/baseline/MDS/noise_masks/cifar10/22/MDS/mask_50.npz
cifar10,22,MDS,70,35000,3512,0.10034285714285714,/nvme/home/lixiang/baseline/MDS/noise_masks/cifar10/22/MDS/mask_70.npz
cifar10,96,MDS,30,15000,841,0.05606666666666667,/nvme/home/lixiang/baseline/MDS/noise_masks/cifar10/96/MDS/mask_30.npz
cifar10,96,MDS,50,25000,1685,0.0674,/nvme/home/lixiang/baseline/MDS/noise_masks/cifar10/96/MDS/mask_50.npz
cifar10,96,MDS,70,35000,3522,0.10062857142857143,/nvme/home/lixiang/baseline/MDS/noise_masks/cifar10/96/MDS/mask_70.npz
cifar10,42,MDS,30,15000,687,0.0458,/nvme/home/lixiang/baseline/MDS/noise_masks/cifar10/42/MDS/mask_30.npz
cifar10,42,MDS,50,25000,1476,0.05904,/nvme/home/lixiang/baseline/MDS/noise_masks/cifar10/42/MDS/mask_50.npz
cifar10,42,MDS,70,35000,3400,0.09714285714285714,/nvme/home/lixiang/baseline/MDS/noise_masks/cifar10/42/MDS/mask_70.npz
cifar100,42,MDS,30,15000,2573,0.17153333333333334,/nvme/home/lixiang/baseline/MDS/noise_masks/cifar100/42/MDS/mask_30.npz
cifar100,42,MDS,50,25000,4376,0.17504,/nvme/home/lixiang/baseline/MDS/noise_masks/cifar100/42/MDS/mask_50.npz
cifar100,42,MDS,70,35000,6311,0.1803142857142857,/nvme/home/lixiang/baseline/MDS/noise_masks/cifar100/42/MDS/mask_70.npz
cifar100,22,MDS,30,15000,2377,0.15846666666666667,/nvme/home/lixiang/baseline/MDS/noise_masks/cifar100/22/MDS/mask_30.npz
cifar100,22,MDS,50,25000,4146,0.16584,/nvme/home/lixiang/baseline/MDS/noise_masks/cifar100/22/MDS/mask_50.npz
cifar100,22,MDS,70,35000,6074,0.17354285714285714,/nvme/home/lixiang/baseline/MDS/noise_masks/cifar100/22/MDS/mask_70.npz
cifar100,96,MDS,30,15000,2032,0.13546666666666668,/nvme/home/lixiang/baseline/MDS/noise_masks/cifar100/96/MDS/mask_30.npz
cifar100,96,MDS,50,25000,3592,0.14368,/nvme/home/lixiang/baseline/MDS/noise_masks/cifar100/96/MDS/mask_50.npz
cifar100,96,MDS,70,35000,5529,0.15797142857142857,/nvme/home/lixiang/baseline/MDS/noise_masks/cifar100/96/MDS/mask_70.npz
tiny-imagenet,22,MDS,30,30000,4488,0.1496,/nvme/home/lixiang/baseline/MDS/noise_masks/tiny-imagenet/22/MDS/mask_30.npz
tiny-imagenet,22,MDS,50,50000,7899,0.15798,/nvme/home/lixiang/baseline/MDS/noise_masks/tiny-imagenet/22/MDS/mask_50.npz
tiny-imagenet,96,MDS,30,30000,4500,0.15,/nvme/home/lixiang/baseline/MDS/noise_masks/tiny-imagenet/96/MDS/mask_30.npz
tiny-imagenet,96,MDS,50,50000,7898,0.15796,/nvme/home/lixiang/baseline/MDS/noise_masks/tiny-imagenet/96/MDS/mask_50.npz
tiny-imagenet,42,MDS,30,30000,4447,0.14823333333333333,/nvme/home/lixiang/baseline/MDS/noise_masks/tiny-imagenet/42/MDS/mask_30.npz
tiny-imagenet,42,MDS,50,50000,7804,0.15608,/nvme/home/lixiang/baseline/MDS/noise_masks/tiny-imagenet/42/MDS/mask_50.npz
