epoch,train_loss,test_acc,best_acc
1,4.9953670455932615,0.0181,0.0181
2,4.479773233795166,0.0412,0.0412
3,4.344357696533203,0.0609,0.0609
4,4.207702304992676,0.0859,0.0859
5,4.109637569656372,0.1079,0.1079
6,4.016714766235352,0.1383,0.1383
7,3.934556510696411,0.1625,0.1625
8,3.834515785827637,0.1881,0.1881
9,3.7369474644470215,0.2245,0.2245
10,3.637179724121094,0.2276,0.2276
11,3.5438509898376465,0.2591,0.2591
12,3.4479902753448486,0.2837,0.2837
13,3.3467154936981203,0.2967,0.2967
14,3.2630729597473143,0.3392,0.3392
15,3.1687486497497557,0.3424,0.3424
16,3.0834225676727294,0.3557,0.3557
17,3.0110480030059814,0.3825,0.3825
18,2.9514634381103515,0.3988,0.3988
19,2.87826880317688,0.4182,0.4182
20,2.819042083892822,0.4467,0.4467
21,2.7576225184631347,0.432,0.4467
22,2.7097812587738037,0.4263,0.4467
23,2.665878941116333,0.4499,0.4499
24,2.626765796661377,0.4406,0.4499
25,2.5904262760162355,0.4695,0.4695
26,2.2690517131042482,0.5966,0.5966
27,2.14809143409729,0.6073,0.6073
28,2.085007717895508,0.6054,0.6073
29,2.0361787582015993,0.6095,0.6095
30,1.9952475415802002,0.6162,0.6162
31,1.9541957682037354,0.6131,0.6162
32,1.909484288368225,0.6143,0.6162
33,1.869357081642151,0.6093,0.6162
34,1.8226403272247313,0.6153,0.6162
35,1.7812410144805908,0.6097,0.6162
36,1.7387197052001953,0.5972,0.6162
37,1.6917422939300537,0.5996,0.6162
38,1.6555073138427734,0.5999,0.6162
39,1.4541503609848023,0.6223,0.6223
40,1.3889680014038086,0.6236,0.6236
41,1.3593426819610597,0.6236,0.6236
42,1.3310479920959473,0.6223,0.6236
43,1.3091517416381835,0.6231,0.6236
44,1.2896552641296386,0.6236,0.6236
45,1.2655111909866332,0.6195,0.6236
46,1.2517942701339722,0.6174,0.6236
47,1.2286387591934205,0.6174,0.6236
48,1.2083388493347167,0.6181,0.6236
49,1.1854088560295104,0.6167,0.6236
50,1.1662975438690186,0.6175,0.6236
