dataset,seed,method,keep_ratio,num_selected,num_noisy_selected,noise_ratio_in_mask,mask_path
cifar10,22,MoSo,30,15000,2829,0.1886,/nvme/home/lixiang/baseline/MoSo/noise_masks/cifar10/22/MoSo/mask_30.npz
cifar10,22,MoSo,50,25000,3547,0.14188,/nvme/home/lixiang/baseline/MoSo/noise_masks/cifar10/22/MoSo/mask_50.npz
cifar10,22,MoSo,70,35000,4440,0.12685714285714286,/nvme/home/lixiang/baseline/MoSo/noise_masks/cifar10/22/MoSo/mask_70.npz
cifar10,42,MoSo,30,15000,3732,0.2488,/nvme/home/lixiang/baseline/MoSo/noise_masks/cifar10/42/MoSo/mask_30.npz
cifar10,42,MoSo,50,25000,4930,0.1972,/nvme/home/lixiang/baseline/MoSo/noise_masks/cifar10/42/MoSo/mask_50.npz
cifar10,42,MoSo,70,35000,5618,0.16051428571428572,/nvme/home/lixiang/baseline/MoSo/noise_masks/cifar10/42/MoSo/mask_70.npz
cifar10,96,MoSo,30,15000,3853,0.2568666666666667,/nvme/home/lixiang/baseline/MoSo/noise_masks/cifar10/96/MoSo/mask_30.npz
cifar10,96,MoSo,50,25000,4881,0.19524,/nvme/home/lixiang/baseline/MoSo/noise_masks/cifar10/96/MoSo/mask_50.npz
cifar10,96,MoSo,70,35000,5538,0.15822857142857144,/nvme/home/lixiang/baseline/MoSo/noise_masks/cifar10/96/MoSo/mask_70.npz
cifar100,42,MoSo,30,15000,2747,0.18313333333333334,/nvme/home/lixiang/baseline/MoSo/noise_masks/cifar100/42/MoSo/mask_30.npz
cifar100,42,MoSo,50,25000,3537,0.14148,/nvme/home/lixiang/baseline/MoSo/noise_masks/cifar100/42/MoSo/mask_50.npz
cifar100,42,MoSo,70,35000,4117,0.11762857142857143,/nvme/home/lixiang/baseline/MoSo/noise_masks/cifar100/42/MoSo/mask_70.npz
cifar100,22,MoSo,30,15000,3188,0.21253333333333332,/nvme/home/lixiang/baseline/MoSo/noise_masks/cifar100/22/MoSo/mask_30.npz
cifar100,22,MoSo,50,25000,4368,0.17472,/nvme/home/lixiang/baseline/MoSo/noise_masks/cifar100/22/MoSo/mask_50.npz
cifar100,22,MoSo,70,35000,5273,0.15065714285714285,/nvme/home/lixiang/baseline/MoSo/noise_masks/cifar100/22/MoSo/mask_70.npz
cifar100,96,MoSo,30,15000,3077,0.20513333333333333,/nvme/home/lixiang/baseline/MoSo/noise_masks/cifar100/96/MoSo/mask_30.npz
cifar100,96,MoSo,50,25000,3955,0.1582,/nvme/home/lixiang/baseline/MoSo/noise_masks/cifar100/96/MoSo/mask_50.npz
cifar100,96,MoSo,70,35000,4580,0.13085714285714287,/nvme/home/lixiang/baseline/MoSo/noise_masks/cifar100/96/MoSo/mask_70.npz
tiny-imagenet,22,MoSo,30,30000,5555,0.18516666666666667,/nvme/home/lixiang/baseline/MoSo/noise_masks/tiny-imagenet/22/MoSo/mask_30.npz
tiny-imagenet,22,MoSo,50,50000,8252,0.16504,/nvme/home/lixiang/baseline/MoSo/noise_masks/tiny-imagenet/22/MoSo/mask_50.npz
tiny-imagenet,96,MoSo,30,30000,8023,0.26743333333333336,/nvme/home/lixiang/baseline/MoSo/noise_masks/tiny-imagenet/96/MoSo/mask_30.npz
tiny-imagenet,96,MoSo,50,50000,9644,0.19288,/nvme/home/lixiang/baseline/MoSo/noise_masks/tiny-imagenet/96/MoSo/mask_50.npz
tiny-imagenet,42,MoSo,30,30000,5782,0.19273333333333334,/nvme/home/lixiang/baseline/MoSo/noise_masks/tiny-imagenet/42/MoSo/mask_30.npz
tiny-imagenet,42,MoSo,50,50000,8464,0.16928,/nvme/home/lixiang/baseline/MoSo/noise_masks/tiny-imagenet/42/MoSo/mask_50.npz
