dataset,seed,method,keep_ratio,num_selected,num_noisy_selected,noise_ratio_in_mask,mask_path
cifar10,22,YangCLIP,30,15000,64,0.004266666666666667,/nvme/home/lixiang/baseline/YangCLIP/noise_masks/cifar10/22/YangCLIP/mask_30.npz
cifar10,22,YangCLIP,50,25000,74,0.00296,/nvme/home/lixiang/baseline/YangCLIP/noise_masks/cifar10/22/YangCLIP/mask_50.npz
cifar10,22,YangCLIP,70,35000,84,0.0024,/nvme/home/lixiang/baseline/YangCLIP/noise_masks/cifar10/22/YangCLIP/mask_70.npz
cifar10,42,YangCLIP,30,15000,50,0.0033333333333333335,/nvme/home/lixiang/baseline/YangCLIP/noise_masks/cifar10/42/YangCLIP/mask_30.npz
cifar10,42,YangCLIP,50,25000,59,0.00236,/nvme/home/lixiang/baseline/YangCLIP/noise_masks/cifar10/42/YangCLIP/mask_50.npz
cifar10,42,YangCLIP,70,35000,67,0.0019142857142857143,/nvme/home/lixiang/baseline/YangCLIP/noise_masks/cifar10/42/YangCLIP/mask_70.npz
cifar10,96,YangCLIP,30,15000,29,0.0019333333333333333,/nvme/home/lixiang/baseline/YangCLIP/noise_masks/cifar10/96/YangCLIP/mask_30.npz
cifar10,96,YangCLIP,50,25000,42,0.00168,/nvme/home/lixiang/baseline/YangCLIP/noise_masks/cifar10/96/YangCLIP/mask_50.npz
cifar10,96,YangCLIP,70,35000,45,0.0012857142857142856,/nvme/home/lixiang/baseline/YangCLIP/noise_masks/cifar10/96/YangCLIP/mask_70.npz
cifar100,42,YangCLIP,30,15000,34,0.002266666666666667,/nvme/home/lixiang/baseline/YangCLIP/noise_masks/cifar100/42/YangCLIP/mask_30.npz
cifar100,42,YangCLIP,50,25000,96,0.00384,/nvme/home/lixiang/baseline/YangCLIP/noise_masks/cifar100/42/YangCLIP/mask_50.npz
cifar100,42,YangCLIP,70,35000,350,0.01,/nvme/home/lixiang/baseline/YangCLIP/noise_masks/cifar100/42/YangCLIP/mask_70.npz
cifar100,22,YangCLIP,30,15000,35,0.0023333333333333335,/nvme/home/lixiang/baseline/YangCLIP/noise_masks/cifar100/22/YangCLIP/mask_30.npz
cifar100,22,YangCLIP,50,25000,93,0.00372,/nvme/home/lixiang/baseline/YangCLIP/noise_masks/cifar100/22/YangCLIP/mask_50.npz
cifar100,22,YangCLIP,70,35000,342,0.009771428571428572,/nvme/home/lixiang/baseline/YangCLIP/noise_masks/cifar100/22/YangCLIP/mask_70.npz
cifar100,96,YangCLIP,30,15000,36,0.0024,/nvme/home/lixiang/baseline/YangCLIP/noise_masks/cifar100/96/YangCLIP/mask_30.npz
cifar100,96,YangCLIP,50,25000,97,0.00388,/nvme/home/lixiang/baseline/YangCLIP/noise_masks/cifar100/96/YangCLIP/mask_50.npz
cifar100,96,YangCLIP,70,35000,358,0.010228571428571429,/nvme/home/lixiang/baseline/YangCLIP/noise_masks/cifar100/96/YangCLIP/mask_70.npz
tiny-imagenet,22,YangCLIP,30,30000,65,0.0021666666666666666,/nvme/home/lixiang/baseline/YangCLIP/noise_masks/tiny-imagenet/22/YangCLIP/mask_30.npz
tiny-imagenet,22,YangCLIP,50,50000,219,0.00438,/nvme/home/lixiang/baseline/YangCLIP/noise_masks/tiny-imagenet/22/YangCLIP/mask_50.npz
tiny-imagenet,96,YangCLIP,30,30000,61,0.002033333333333333,/nvme/home/lixiang/baseline/YangCLIP/noise_masks/tiny-imagenet/96/YangCLIP/mask_30.npz
tiny-imagenet,96,YangCLIP,50,50000,224,0.00448,/nvme/home/lixiang/baseline/YangCLIP/noise_masks/tiny-imagenet/96/YangCLIP/mask_50.npz
tiny-imagenet,42,YangCLIP,30,30000,60,0.002,/nvme/home/lixiang/baseline/YangCLIP/noise_masks/tiny-imagenet/42/YangCLIP/mask_30.npz
tiny-imagenet,42,YangCLIP,50,50000,225,0.0045,/nvme/home/lixiang/baseline/YangCLIP/noise_masks/tiny-imagenet/42/YangCLIP/mask_50.npz
