step,epoch,lr,train_loss,train_acc,test_loss,test_acc,elapsed_sec
1,0.0006402048655569782,0.025,5.506191253662109,0.0,5.344529265594482,0.005,7.169516324996948
15620,10.0,0.025,3.309692621231079,0.390625,2.424455205535889,0.438,2550.3932824134827
31240,20.0,0.025,1.6972365379333496,0.625,2.910657674407959,0.3961,5091.170831203461
46860,30.0,0.0025000000000000005,0.6897894740104675,0.84375,3.9306310958862305,0.3438,7635.595991373062
62480,40.0,0.0025000000000000005,0.011114014312624931,1.0,3.460362447357178,0.4028,10168.267855882645
78100,50.0,0.0025000000000000005,0.008733906783163548,1.0,3.317566170501709,0.4072,12698.518115997314
93720,60.0,0.00025000000000000006,0.006588724907487631,1.0,3.239172250366211,0.4172,15147.647154331207
109340,70.0,0.00025000000000000006,0.006964812055230141,1.0,3.278192269897461,0.4107,17624.119313955307
124960,80.0,0.00025000000000000006,0.005052346270531416,1.0,3.2160180206298827,0.4129,20146.85256934166
140580,90.0,0.00025000000000000006,0.008845706470310688,1.0,3.224108392333984,0.415,22675.23725581169
