dataset,seed,method,keep_ratio,num_train,num_selected,num_noisy_total,noise_ratio_total,num_noisy_selected,noise_ratio_in_mask,mask_path
cifar10,42,EL2N,30,50000,15000,10000,0.2,9658,0.6438666666666667,/nvme/home/lixiang/baseline/data_diet/noise_masks/cifar10/42/EL2N/mask_30.npz
cifar10,42,EL2N,50,50000,25000,10000,0.2,9948,0.39792,/nvme/home/lixiang/baseline/data_diet/noise_masks/cifar10/42/EL2N/mask_50.npz
cifar10,42,EL2N,70,50000,35000,10000,0.2,9988,0.28537142857142855,/nvme/home/lixiang/baseline/data_diet/noise_masks/cifar10/42/EL2N/mask_70.npz
cifar10,42,GraNd,30,50000,15000,10000,0.2,4294,0.28626666666666667,/nvme/home/lixiang/baseline/data_diet/noise_masks/cifar10/42/GraNd/mask_30.npz
cifar10,42,GraNd,50,50000,25000,10000,0.2,9286,0.37144,/nvme/home/lixiang/baseline/data_diet/noise_masks/cifar10/42/GraNd/mask_50.npz
cifar10,42,GraNd,70,50000,35000,10000,0.2,9990,0.2854285714285714,/nvme/home/lixiang/baseline/data_diet/noise_masks/cifar10/42/GraNd/mask_70.npz
cifar10,42,Forgetting,30,50000,15000,10000,0.2,2592,0.1728,/nvme/home/lixiang/baseline/data_diet/noise_masks/cifar10/42/Forgetting/mask_30.npz
cifar10,42,Forgetting,50,50000,25000,10000,0.2,6331,0.25324,/nvme/home/lixiang/baseline/data_diet/noise_masks/cifar10/42/Forgetting/mask_50.npz
cifar10,42,Forgetting,70,50000,35000,10000,0.2,9428,0.2693714285714286,/nvme/home/lixiang/baseline/data_diet/noise_masks/cifar10/42/Forgetting/mask_70.npz
cifar10,96,EL2N,30,50000,15000,10000,0.2,9704,0.6469333333333334,/nvme/home/lixiang/baseline/data_diet/noise_masks/cifar10/96/EL2N/mask_30.npz
cifar10,96,EL2N,50,50000,25000,10000,0.2,9959,0.39836,/nvme/home/lixiang/baseline/data_diet/noise_masks/cifar10/96/EL2N/mask_50.npz
cifar10,96,EL2N,70,50000,35000,10000,0.2,9984,0.2852571428571429,/nvme/home/lixiang/baseline/data_diet/noise_masks/cifar10/96/EL2N/mask_70.npz
cifar10,96,GraNd,30,50000,15000,10000,0.2,4088,0.27253333333333335,/nvme/home/lixiang/baseline/data_diet/noise_masks/cifar10/96/GraNd/mask_30.npz
cifar10,96,GraNd,50,50000,25000,10000,0.2,9262,0.37048,/nvme/home/lixiang/baseline/data_diet/noise_masks/cifar10/96/GraNd/mask_50.npz
cifar10,96,GraNd,70,50000,35000,10000,0.2,9995,0.2855714285714286,/nvme/home/lixiang/baseline/data_diet/noise_masks/cifar10/96/GraNd/mask_70.npz
cifar10,96,Forgetting,30,50000,15000,10000,0.2,2645,0.17633333333333334,/nvme/home/lixiang/baseline/data_diet/noise_masks/cifar10/96/Forgetting/mask_30.npz
cifar10,96,Forgetting,50,50000,25000,10000,0.2,6659,0.26636,/nvme/home/lixiang/baseline/data_diet/noise_masks/cifar10/96/Forgetting/mask_50.npz
cifar10,96,Forgetting,70,50000,35000,10000,0.2,9592,0.27405714285714283,/nvme/home/lixiang/baseline/data_diet/noise_masks/cifar10/96/Forgetting/mask_70.npz
cifar10,22,EL2N,30,50000,15000,10000,0.2,9708,0.6472,/nvme/home/lixiang/baseline/data_diet/noise_masks/cifar10/22/EL2N/mask_30.npz
cifar10,22,EL2N,50,50000,25000,10000,0.2,9955,0.3982,/nvme/home/lixiang/baseline/data_diet/noise_masks/cifar10/22/EL2N/mask_50.npz
cifar10,22,EL2N,70,50000,35000,10000,0.2,9989,0.2854,/nvme/home/lixiang/baseline/data_diet/noise_masks/cifar10/22/EL2N/mask_70.npz
cifar10,22,GraNd,30,50000,15000,10000,0.2,4178,0.27853333333333335,/nvme/home/lixiang/baseline/data_diet/noise_masks/cifar10/22/GraNd/mask_30.npz
cifar10,22,GraNd,50,50000,25000,10000,0.2,9583,0.38332,/nvme/home/lixiang/baseline/data_diet/noise_masks/cifar10/22/GraNd/mask_50.npz
cifar10,22,GraNd,70,50000,35000,10000,0.2,9995,0.2855714285714286,/nvme/home/lixiang/baseline/data_diet/noise_masks/cifar10/22/GraNd/mask_70.npz
cifar10,22,Forgetting,30,50000,15000,10000,0.2,2690,0.17933333333333334,/nvme/home/lixiang/baseline/data_diet/noise_masks/cifar10/22/Forgetting/mask_30.npz
cifar10,22,Forgetting,50,50000,25000,10000,0.2,6596,0.26384,/nvme/home/lixiang/baseline/data_diet/noise_masks/cifar10/22/Forgetting/mask_50.npz
cifar10,22,Forgetting,70,50000,35000,10000,0.2,9547,0.27277142857142855,/nvme/home/lixiang/baseline/data_diet/noise_masks/cifar10/22/Forgetting/mask_70.npz
cifar100,42,EL2N,30,50000,15000,10000,0.2,9314,0.6209333333333333,/nvme/home/lixiang/baseline/data_diet/noise_masks/cifar100/42/EL2N/mask_30.npz
cifar100,42,EL2N,50,50000,25000,10000,0.2,9914,0.39656,/nvme/home/lixiang/baseline/data_diet/noise_masks/cifar100/42/EL2N/mask_50.npz
cifar100,42,EL2N,70,50000,35000,10000,0.2,9989,0.2854,/nvme/home/lixiang/baseline/data_diet/noise_masks/cifar100/42/EL2N/mask_70.npz
cifar100,42,GraNd,30,50000,15000,10000,0.2,4126,0.2750666666666667,/nvme/home/lixiang/baseline/data_diet/noise_masks/cifar100/42/GraNd/mask_30.npz
cifar100,42,GraNd,50,50000,25000,10000,0.2,6952,0.27808,/nvme/home/lixiang/baseline/data_diet/noise_masks/cifar100/42/GraNd/mask_50.npz
cifar100,42,GraNd,70,50000,35000,10000,0.2,9731,0.2780285714285714,/nvme/home/lixiang/baseline/data_diet/noise_masks/cifar100/42/GraNd/mask_70.npz
cifar100,42,Forgetting,30,50000,15000,10000,0.2,984,0.0656,/nvme/home/lixiang/baseline/data_diet/noise_masks/cifar100/42/Forgetting/mask_30.npz
cifar100,42,Forgetting,50,50000,25000,10000,0.2,4167,0.16668,/nvme/home/lixiang/baseline/data_diet/noise_masks/cifar100/42/Forgetting/mask_50.npz
cifar100,42,Forgetting,70,50000,35000,10000,0.2,8566,0.24474285714285715,/nvme/home/lixiang/baseline/data_diet/noise_masks/cifar100/42/Forgetting/mask_70.npz
cifar100,22,EL2N,30,50000,15000,10000,0.2,9365,0.6243333333333333,/nvme/home/lixiang/baseline/data_diet/noise_masks/cifar100/22/EL2N/mask_30.npz
cifar100,22,EL2N,50,50000,25000,10000,0.2,9921,0.39684,/nvme/home/lixiang/baseline/data_diet/noise_masks/cifar100/22/EL2N/mask_50.npz
cifar100,22,EL2N,70,50000,35000,10000,0.2,9984,0.2852571428571429,/nvme/home/lixiang/baseline/data_diet/noise_masks/cifar100/22/EL2N/mask_70.npz
cifar100,22,GraNd,30,50000,15000,10000,0.2,4059,0.2706,/nvme/home/lixiang/baseline/data_diet/noise_masks/cifar100/22/GraNd/mask_30.npz
cifar100,22,GraNd,50,50000,25000,10000,0.2,6812,0.27248,/nvme/home/lixiang/baseline/data_diet/noise_masks/cifar100/22/GraNd/mask_50.npz
cifar100,22,GraNd,70,50000,35000,10000,0.2,9672,0.27634285714285717,/nvme/home/lixiang/baseline/data_diet/noise_masks/cifar100/22/GraNd/mask_70.npz
cifar100,22,Forgetting,30,50000,15000,10000,0.2,1028,0.06853333333333333,/nvme/home/lixiang/baseline/data_diet/noise_masks/cifar100/22/Forgetting/mask_30.npz
cifar100,22,Forgetting,50,50000,25000,10000,0.2,4228,0.16912,/nvme/home/lixiang/baseline/data_diet/noise_masks/cifar100/22/Forgetting/mask_50.npz
cifar100,22,Forgetting,70,50000,35000,10000,0.2,8520,0.24342857142857144,/nvme/home/lixiang/baseline/data_diet/noise_masks/cifar100/22/Forgetting/mask_70.npz
cifar100,96,EL2N,30,50000,15000,10000,0.2,9311,0.6207333333333334,/nvme/home/lixiang/baseline/data_diet/noise_masks/cifar100/96/EL2N/mask_30.npz
cifar100,96,EL2N,50,50000,25000,10000,0.2,9910,0.3964,/nvme/home/lixiang/baseline/data_diet/noise_masks/cifar100/96/EL2N/mask_50.npz
cifar100,96,EL2N,70,50000,35000,10000,0.2,9981,0.2851714285714286,/nvme/home/lixiang/baseline/data_diet/noise_masks/cifar100/96/EL2N/mask_70.npz
cifar100,96,GraNd,30,50000,15000,10000,0.2,4170,0.278,/nvme/home/lixiang/baseline/data_diet/noise_masks/cifar100/96/GraNd/mask_30.npz
cifar100,96,GraNd,50,50000,25000,10000,0.2,6844,0.27376,/nvme/home/lixiang/baseline/data_diet/noise_masks/cifar100/96/GraNd/mask_50.npz
cifar100,96,GraNd,70,50000,35000,10000,0.2,9722,0.27777142857142856,/nvme/home/lixiang/baseline/data_diet/noise_masks/cifar100/96/GraNd/mask_70.npz
cifar100,96,Forgetting,30,50000,15000,10000,0.2,1002,0.0668,/nvme/home/lixiang/baseline/data_diet/noise_masks/cifar100/96/Forgetting/mask_30.npz
cifar100,96,Forgetting,50,50000,25000,10000,0.2,4172,0.16688,/nvme/home/lixiang/baseline/data_diet/noise_masks/cifar100/96/Forgetting/mask_50.npz
cifar100,96,Forgetting,70,50000,35000,10000,0.2,8537,0.24391428571428572,/nvme/home/lixiang/baseline/data_diet/noise_masks/cifar100/96/Forgetting/mask_70.npz
